Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date			12/09/2022
12	Butterfree	G	3	Holo		003	ryoma uratsuka			12/09/2022
385	Shroomish	G	1			004	Naoyo Kimura			10/05/2022
286	Breloom	G	2			005	Yukiko Baba			12/09/2022
511	Pansage	G	1			007	Nagomi Nijo			9/29/2022
541	Swadloon	G	2			010	0313			9/29/2022
616	Shelmet	G	1			013	Shibuzoh.			11/23/2022
640	Virizion	G	3			015	Kagemaru Himeno			12/09/2022
708	Phantump	G	1		Trick or Trade Promo	016	OKACHEKE			10/31/2022
709	Trevenant	G	2			017	Narumi Sato			12/09/2022
736	Grubbin	G	1			018	Asako Ito			12/09/2022
829	Gossifleur	G	1			024	Kagemaru Himeno			11/16/2021
830	Eldegoss	G	2			025	Akira Komayama			9/29/2022
37	Vulpix	F	1			028	Sekio			12/09/2022
37	Vulpix	F	1			029	Megumi Mizutani			9/28/2022
38	Ninetales	F	2			030	kirisAki			11/16/2021
38	Ninetales	F	2			031	Tika Matsuno			9/28/2022
58	Growlithe	F	1			032	Narumi Sato			12/09/2022
219	Magcargo	F	2			035	Eri Yamaki			10/05/2022
513	Pansear	F	1			037	Miza Tsutsui			12/09/2022
815	Cinderace VMax	F	5	Full	Full Art	045	5ban Graphics			9/29/2022
850	Sizzlipede	F	1			046	miki kudo			12/09/2022
850	Sizzlipede	F	1			047	Narumi SAto			9/28/2022
851	Centiskorch	F	3	Reverse		048	Hasuno			12/09/2022
90	Shellder	W	1			050	kawayoo			12/09/2022
158	Totodile	W	1			055	Mizue			11/16/2021
160	Feraligatr	W	3	Reverse		057	Anesaki Dynamic			12/24/2022
183	Marill	W	1			058	sowsow			11/16/2021
184	Azumarill	W	3			059	Sanosuke Sakuma			12/09/2022
211	Qwilfish	W	1			060	HYOGONOSUKE			12/09/2022
226	Mantine	W	1	Reverse		061	Saya Tsuruta			12/09/2022
258	Mudkip	W	1			062	KIYOTAKA OSHIYAMA			11/23/2022
259	Marshtomp	W	2			063	tetsuya koizumi			12/09/2022
260	Swampert	W	3	Reverse		064	Masokazu Fukuda			12/24/2022
366	Clamperl	W	1			065	Anesaki Dynamic			12/24/2022
368	Gorebyss	W	3			067	Misa Tsutsui			11/16/2021
516	Simipour	W	2			069	Shin Nagasawa			11/16/2021
554	Darumaka	W	1	Reverse	Galarian	071	Atsuko Nishida			12/27/2022
555	Darmanitan	W	2		Galarian	072	SATOSHI NAKAI			12/24/2022
658	Greninja V	W	5	Full	Full Art	073	5ban Graphics			11/23/2022
692	Clauncher	W	1			074	Pani Kobayashi			12/09/2022
771	Pyukumuku	W	1			077	Tomokasu Komiya			11/23/2022
818	Inteleon VMax	W	5	Full	Full Art	079	5ban Graphics			12/24/2022
833	Chewtle	W	1			080	Saya Tsuruta			10/05/2022
846	Arrokuda	W	1			082	Miki Tanaka			12/09/2022
873	Frosmoth	W	2	Reverse		085	chibi			12/24/2021
311	Plusle	El	1			089	Megumi Higuchi			9/28/2022
312	Minun	El	1			090	HYOGONOSUKE			12/09/2022
403	Shinx	El	1			091	Naoyo Kimura			11/23/2022
404	Luxio	El	2			092	Tika Matsuno			12/09/2022
479	Rotom	El	1			094	Sekio			12/24/2022
602	Tynamo	El	1			095	Yuka Morii			12/09/2022
603	Eelektrik	El	2			096	Shigenori Negishi			12/24/2022
604	Eelektross	El	3			097	OKACHEKE			10/05/2022
694	Helioptile	El	1			098	Mina Nakai			11/16/2021
695	Heliolisk	El	2			099	Kagemaru Himeno			12/24/2022
737	Charjabug	El	2			100	sowsow			10/05/2022
738	Vikavolt	El	3			101	nagimiso			12/09/2022
836	Bolthund V	El	5	Full	Full Art	103	Shin Nagasawa			12/09/2022
848	Toxel	El	1			106	kodama			11/16/2021
849	Toxtricity	El	3	Reverse		107	Ryuta Fuse			12/09/2022
849	Toxtricity	El	3	Holo		107	Ryuta Fuse			12/24/2022
877	Morpeko	El	1			109	Sanosuke Sakuma			12/24/2022
40	Wigglytuff	P	2			111	Asako Ito			11/16/2021
124	Jynx	P	1			112	Shigenori Negishi			12/27/2022
209	Snubbull	P	1			115	Kyoko Umemoto			12/09/2022
210	Granbull	P	3	Reverse		116	Akira Komayama			12/09/2022
222	Corsola	P	1		Galarian	117	Kouki Saitou			12/09/2022
864	Cursola	P	3		Galarian	118	sui			12/09/2022
517	Munna	P	1			121	miki kudo			12/24/2022
561	Sigilyph	P	1			123	Yukiko Baba			11/16/2021
769	Sandygast	P	1			125	KIYOTAKA OSHIYAMA			9/28/2022
770	Palossand	P	3			126	Shibuzoh.			9/29/2022
876	Indeedee	P	1			127	sui			12/09/2022
886	Drakloak	P	2			129	HYOGONOSUKE			12/09/2022
56	Mankey	Fg	1			133	sowsow			12/09/2022
57	Primeape	Fg	2			134	Yuya Oka			12/27/2022
74	Geodude	Fg	1			135	OKACHEKE			12/09/2022
95	Onix	Fg	1			138	KEIICHIRO ITO			10/05/2022
472	Gliscor	Fg	2	Reverse		141	SATOSHI NAKAI			12/09/2022
297	Hariyama	Fg	2			143	Hitoshi Ariga			12/09/2022
343	Baltoy	Fg	1			144	Sumiyoshi Kizuki			12/09/2022
344	Claydol	Fg	3	Reverse		145	Akira Komayama			11/23/2022
529	Drilbur	Fg	1			147	tetsuya koizumi			11/23/2022
674	Pancham	Fg	1			149	Mina Nakai			9/29/2022
759	Stufful	Fg	1			150	OKACHEKE			11/16/2021
760	Bewear	Fg	2			151	Shigenori Negishi			9/29/2022
852	Clobbopus	Fg	1			152	Mizue			9/29/2022
870	Falinks	Fg	1			155	Yuu Nishida			12/09/2022
263	Zigzagoon	D	1		Galarian	159	Eri Yamaki			12/09/2022
318	Carvanha	D	1			162	NC Empire			12/24/2022
319	Sharpedo	D	2			163	Hasuno			12/24/2022
453	Croagunk	D	1			165	Nagomi Nijo			12/09/2022
569	Garbodor	D	2			169	sui			12/09/2022
570	Zorua	D	1			170	nagimiso			12/09/2022
630	Mandibuzz	D	2			173	Narumi Sato			9/28/2022
859	Impidimp	D	1	Reverse		176	sowsow			9/29/2022
860	Morgrem	D	2	Reverse		177	tetsuya koizumi			12/09/2022
877	Morpeko	D	1			179	Teeziro			12/09/2022
52	Meowth	Sl	1	Reverse	Galarian	180	0313			10/05/2022
530	Excadrill	Sl	2			183	Lee HyunJung			12/09/2022
707	Klefki	Sl	1			186	MAHOU			9/29/2022
704	Goomy	Dr	1			195	Miki Tanaka			12/09/2022
52	Meowth	N	1			199	Kouki Saitou			11/16/2021
113	Chansey	N	1			202	miki kudo			12/09/2022
242	Blissey	N	3	Reverse		203	Mizue			12/09/2022
206	Dunsparce	N	2			207	ryoma uratsuka			12/24/2022
235	Smeargle	N	1			209	Mitsuhiro Arita			12/09/2022
427	Buneary	N	1	Reverse		212	Yuu Nishida			12/09/2022
428	Lopunny	N	2			213	AKIRA EGAWA			12/09/2022
659	Bunnelby	N	1			214	sui			11/23/2022
701	Hawlucha	N	2			216	Taira Akitsu			12/09/2022
820	Greedent Vmax	N	5	Full	Full Art	218	PLANETA Mochizuki			11/16/2021
822	Corvisquire	N	2			220	Maoyo Kimura			12/09/2022
831	Wooloo	N	1	Reverse		221	Miki Tanaka			9/28/2022
831	Wooloo	N	1			222	Yukiko Baba			9/29/2022
T	Adventurer's Discovery	Su	2			224	Taira Akitsu			12/09/2022
T	Bug Catcher	Su	2			226	Yuu Nishida			11/16/2021
T	Chili & Cilan & Cress	Su	2			227	Yusuke Ohmura			11/23/2022
T	Cook	Su	2			228	Sanosuke Sakuma			10/05/2022
T	Cram-o-matic	I	2			229	Ryo Ueda			9/29/2022
T	Cross Switcher	I	2			230	inose yukie			12/09/2022
T	Crossceiver	I	2	Reverse		231	Studio Bora Inc.			11/16/2021
T	Dancer	Su	2			232	Sanosuke Sakuma			12/24/2022
T	Farewell Bell	I	2			234	AYUMI ODASHIMA			9/28/2022
T	Judge	Su	2			235	Ryuta Fuse			12/09/2022
T	Power Tablet	I	2			236	Toyste Beach			9/29/2022
T	Quick Ball	I	2			237	Ryo Ueda			12/24/2022
T	Schoolgirl	Su	2			239	kirisAki			11/23/2022
T	Shauna	Su	2			240	Yuu Nishida			12/27/2022
T	Skaters' Park	S	2	Reverse		242	Oswaldo KATO			11/16/2021
763	Tsareena V	G	5	Full	Full Art	246	PLANETA Mochizuki			12/09/2022
